uplift_id,cloned_id,why
1270161,1271493,
1208071,1215195,
1253667,1257181,
1165549,1181562,
1144649,1268215,
1238892,1250661,
1173357,1179249,
1284958,1292721,
1191423,1233784,
1207785,1211046,
1188376,1198345,
1147283,1229330,
1185820,1192350,
1089454,1154003,
1203184,1230238,
1255270,1283067,
1079835,1095231,
1133187,1142769,
1105137,1142318,
1145844,1165549,
1145844,1195789,
1133426,1142939,
1102911,1104846,
1105137,1113526,
1119363,1157415,
1255270,1279208,
1051822,1122729,
1179110,1183888,
1268208,1278636,
1251527,1273024,
1165549,1195789,
1245463,1258410,
1089454,1162520,
1096026,1103273,
1188344,1198724,
1151345,1181977,
1197913,1264271,
1194817,1198730,
1240528,1241621,
1279208,1283067,
1274132,1275739,
