Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Remarks
1269325,1271847,,,
1082178,1162218,,,
1173634,1185392,,,
1206211,1216748,,,
1108035,1123966,,,
1225003,1230692,,,
1059797,1239789,,,
1167248,1236619,,,
1120023,1296453,,,
1151495,1200004,,,
1253379,1263028,,,
1113062,1125940,,,
1199224,1224994,,,
1216658,1272332,,,
1160295,1195844,,,
1102642,1195073^1175058^1259916^1186257,,,
1219330,1293772,,,
1257242,1275040^1275039,,,
1072044,1172785^1136871,,,
1249312,1249659,,,
1065909,1147497^1125503,,,
1081911,1153724,,,
1211000,1243453,,,
1107684,1174486^1147215,,,
1200021,1230740,,,
1163239,1183433,,,
1129369,1197943,,,
1139271,1148203^1149278^1271847,,,
1089833,1177013,,,
1141081,1235573,,,
1051822,1201051^1212349,,,
1112410,1122586,,,
1182411,1284939^1222662^1257759,,,
1063848,1065880,,,
1085266,1124880,,,
1128769,1209751,,,
1271847,1278005,,,
1063733,1069369^1067018^1078211,,,
1131638,1161416^1145101^1143575,,,
1085175,1138072^1096721,,,
1212499,1253386,,,
1232268,1239066,,,
1150277,1268984,,,
1203616,1276483,,,
1126723,1136827,,,
1234422,1237582^1257759,,,
1196696,1267637,,,
1196398,1229339^1253471,,,
1054972,1070955^1062612,,,
1187067,1264622,,,
1205456,1209843,,,
1055904,1134064^1133625,,,
1151361,1179051,,,
1123498,1269408,,,
1064481,1074963,,,
1108838,1147226^1116676^1240478,,,
1180101,1244523,,,
1073345,1173195,,,
1073825,1240025,,,
1170211,1197296,,,
1060114,1138934,,,
1121692,1143575^1129247,,,
1126465,1128576^1129877^1129247,,,
1120629,1126088,,,
1160321,1208349,,,
1147521,1153145^1155241,,,
1093316,1174450,,,
1172226,1215694,,,
1268569,1276869,,,
1243538,1266013,,,
1213646,1269254,,,
1233819,1283594,,,
1120128,1171094,,,
1127213,1136360^1143968^1136107^1133190,,,
1200059,1207439,,,
1123452,1283724,,,
1219134,1236746^1239066,,,
1135408,1144900^1279063,,,
1102538,1155618^1115847^1243754^1148661^1138391^1249493,,,
1079729,1155059,,,
1138253,1143575,,,
1121876,1123269,,,
1290365,1293206,,,
1125503,1147497,,,
1208043,1224994,,,
1194817,1198730,,,
1183433,1185392,,,
1173725,1186886,,,
1194576,1221825,,,
1062920,1162218,,,
1146201,1288976^1268984^1278198^1207439,,,
1092842,1226904,,,
1111160,1173634^1133583,,,
1167883,1274922,,,
1121332,1289942,,,
1185820,1251697,,,
1193387,1200656^1200187,,,
1060738,1181896^1103188^1154389^1224766^1213517,,,
1175783,1183433,,,
1074765,1074765,,,
1259042,1263572,,,
1061327,1088984^1091296,,,
1062876,1181896^1257950,,,
1112972,1200413^1151309,,,
1141931,1230408^1181890^1274443^1229437^1156222,,,
1137614,1159840,,,
1148071,1183433^1163239,,,
1124031,1237842,,,
1223193,1239504,,,
1111971,1171716^1164567,,,
1089364,1147728^1104008^1135271,,,
1244523,1251184^1254731,,,
1264187,1272160,,,
1170143,1179051,,,
1175104,1179051,,,
1143299,1153695,,,
1232069,1253471,,,
1212328,1277267^1290422,,,
1240985,1240985^1257314,,,
1064320,1191936^1200341,,,
1267980,1276930,,,
1177505,1216096,,,
1257234,1259699,,,
1123535,1161416^1173657,,,
1132468,1176551,,,
1105194,1227136,,,
1190257,1256547,,,
1075199,1137489^1160914,,,
1262731,1264403,,,
1146874,1256992,,,
1119033,1125776,,,
1119803,1121148,,,
1185115,1216748,,,
1154599,,,,
1174971,,security,,
1127122,,crash^compat,,
1245476,,feature,,
1280644,,feature,,
1275591,,perf^compat,,
1101122,,feature,,
1290343,,func,,
1132358,,crash,,
1265815,,rendering,,
1259482,,compat,,
1146101,,crash,,
1201874,,rendering,,
1141031,,func,,
1181097,,crash,,
1170913,,other,,no real impact
1091709,,rendering,,
1254122,,crash^security,,
1178601,,crash+compat,,
1280965,,perf+func,,
1285928,,func,,
1149230,,improve,,
1236058,,func,,
1254980,,func,,
1186687,,improve,,
1099345,,compile,,
1085509,,other,,
1260944,,perf,,
1217170,,compat,,
1225970,,crash+security,,
1164942,,,,pocket
1245074,,func,,
1205109,,func,,
1233152,,crash^security,,
1185653,,compat,,
1168481,,,,pocket
1248580,,crash^security,,
1257870,,compile,,
1232229,,crash,,
1238753,,improve,,
1238440,,crash^security,,
1131370,,crash,,
1198547,,improve,,
1273701,,crash^security,,
1248049,,perf^hang,,
1148286,,crash,,
1086936,,feature,,
1208665,,security,,
1244330,,crash,,
1095575,,feature,,
1089000,,func,,
1256500,,crash,,
1084513,,crash,,
1154923,,security,,
1198724,,rendering,,
1142455,,rendering,,
1244250,,security^crash,,
1266142,,improve,,
1111771,,other,,
1287476,,,,pocket
1234170,,crash,,
1285409,,func,,
1180417,,hang^perf,,
1147919,,func,,
1277156,,crash,,
1221855,,crash,,
1061712,,crash,,
1105045,,security,,
1144991,,security,,
1188822,,func,,
1272652,,func,,
1243843,,crash^security,,
1290749,,crash^hang,,
1056251,,func,,
1149649,,improve,,
1254025,,func,,
1225044,,rendering,,
1196437,,func,,
1173730,,improve,,
1198302,,hang,,
1263439,,func,,
1238592,,crash,,
1189702,,func,,
1053565,,compile,,
1207376,,func^compat,,
1208349,,func^compat,,
1210099,,crash^security,,
1133862,,security,,privacy
1270607,,crash,,
1192226,,crash^security,,
1239015,,func,,
1116626,,crash,,
1166867,,improve,,
1279413,,crash^security,,
1103119,,func,,
1151506,,crash,,
1161892,,hang,,
1142835,,crash,,
1147447,,crash,,
1159659,,func,,
1255526,,func,,
1136055,,func,,
1264780,,func,,
1165054,,crash^other,,
1271160,,feature,,
1088910,,func,,
1283072,,func,,
1243335,,security^crash,,
1097587,,improve,,
1222783,,crash,,
1065977,,func,,
1124106,,perf,,
1195098,,crash,,
1147026,,func,,
1211269,,func,,
1086842,,other,,
1189058,,func,,
1172076,,crash^security,,
1270985,,func,,
1162205,,func,,
1243178,,security,,
1266286,,func,,
1216130,,security,,
1181042,,feature,,
1259729,,perf,,
1188344,,rendering,,
1294649,,improve,,
1053725,,func,,
1193015,,crash,,
1103375,,crash,,
1128564,,func,,
1245246,,crash,,
1113925,,security,,
1211016,,test,,
1106238,,improve,,
1253928,,rendering,,
